UNM_BANNER_ID,HED_HIGH_SCHOOL_CODE,INSTITUTION_NAME,STREET_LINE1,STREET_LINE2,STREET_LINE3,CITY,STATE_PROVINCE
101617594,320003,ALBUQUERQUE ACADEMY,6400 WYOMING BLVD NE,,,ALBUQUERQUE,NM
101580719,320003,ALBUQUERQUE ACADEMY,6400 WYOMING BLVD NE,,,ALBUQUERQUE,NM
101580684,320003,ALBUQUERQUE ACADEMY,6400 WYOMING BLVD NE,,,ALBUQUERQUE,NM
101564052,320003,ALBUQUERQUE ACADEMY,6400 WYOMING BLVD NE,,,ALBUQUERQUE,NM
101540357,320003,ALBUQUERQUE ACADEMY,6400 WYOMING BLVD NE,,,ALBUQUERQUE,NM
101535012,320003,ALBUQUERQUE ACADEMY,6400 WYOMING BLVD NE,,,ALBUQUERQUE,NM
101506287,320003,ALBUQUERQUE ACADEMY,6400 WYOMING BLVD NE,,,ALBUQUERQUE,NM
101506269,320003,ALBUQUERQUE ACADEMY,6400 WYOMING BLVD NE,,,ALBUQUERQUE,NM
101359153,320003,ALBUQUERQUE ACADEMY,6400 WYOMING BLVD NE,,,ALBUQUERQUE,NM
101352374,320003,ALBUQUERQUE ACADEMY,6400 WYOMING BLVD NE,,,ALBUQUERQUE,NM
101350763,320003,ALBUQUERQUE ACADEMY,6400 WYOMING BLVD NE,,,ALBUQUERQUE,NM
101349756,320003,ALBUQUERQUE ACADEMY,6400 WYOMING BLVD NE,,,ALBUQUERQUE,NM
101292633,320003,ALBUQUERQUE ACADEMY,6400 WYOMING BLVD NE,,,ALBUQUERQUE,NM
101171053,320003,ALBUQUERQUE ACADEMY,6400 WYOMING BLVD NE,,,ALBUQUERQUE,NM
101227757,320003,ALBUQUERQUE ACADEMY,6400 WYOMING BLVD NE,,,ALBUQUERQUE,NM
101141255,320003,ALBUQUERQUE ACADEMY,6400 WYOMING BLVD NE,,,ALBUQUERQUE,NM
101019505,320003,ALBUQUERQUE ACADEMY,6400 WYOMING BLVD NE,,,ALBUQUERQUE,NM
100922373,320003,ALBUQUERQUE ACADEMY,6400 WYOMING BLVD NE,,,ALBUQUERQUE,NM
100896336,320003,ALBUQUERQUE ACADEMY,6400 WYOMING BLVD NE,,,ALBUQUERQUE,NM
100850470,320003,ALBUQUERQUE ACADEMY,6400 WYOMING BLVD NE,,,ALBUQUERQUE,NM
100827676,320003,ALBUQUERQUE ACADEMY,6400 WYOMING BLVD NE,,,ALBUQUERQUE,NM
100809249,320003,ALBUQUERQUE ACADEMY,6400 WYOMING BLVD NE,,,ALBUQUERQUE,NM
100221610,320003,ALBUQUERQUE ACADEMY,6400 WYOMING BLVD NE,,,ALBUQUERQUE,NM
